Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.21399"
"0.05000","0.00131","2.21543"
"0.10000","0.00506","18.94478"
"0.15000","0.00956","27.80955"
"0.20000","0.01424","32.27101"
"0.25000","0.01884","37.17714"
"0.30000","0.02361","47.19391"
"0.35000","0.02811","61.93261"
"0.40000","0.03252","81.27548"
"0.45000","0.03683","102.71280"
"0.50000","0.04123","123.64262"
"0.55000","0.04545","146.24924"
"0.60000","0.04976","168.94569"
"0.65000","0.05397","190.44801"
"0.70000","0.05829","212.36081"
"0.75000","0.06250","236.09616"
"0.80000","0.06663","261.61935"
"0.85000","0.07084","289.78296"
"0.90000","0.07506","321.05444"
"0.95000","0.07918","354.60013"
"1.00000","0.08340","388.66113"
"1.05000","0.08762","425.03458"
"1.10000","0.09174","464.53848"
"1.15000","0.09586","505.38266"
"1.20000","0.10008","546.99133"
"1.25000","0.10420","590.51227"
"1.30000","0.10842","634.77179"
"1.35000","0.11254","679.97748"
"1.40000","0.11666","726.80060"
"1.45000","0.12079","773.70044"
"1.50000","0.12500","820.90411"
"1.55000","0.12922","867.30859"
"1.60000","0.13334","912.46588"
"1.65000","0.13747","956.54700"
"1.70000","0.14168","1001.83588"
"1.75000","0.14590","1048.67810"
"1.80000","0.15002","1096.66760"
"1.85000","0.15424","1144.82251"
"1.90000","0.15836","1194.22986"
"1.95000","0.16249","1244.29517"
"2.00000","0.16670","1293.47607"
"2.05000","0.17083","1341.82629"
"2.10000","0.17504","1392.40210"
"2.15000","0.17917","1441.48242"
"2.20000","0.18338","1490.73547"
"2.25000","0.18760","1541.24316"
"2.30000","0.19172","1592.30908"
"2.35000","0.19594","1641.22900"
"2.40000","0.20006","1690.63831"
"2.45000","0.20419","1741.11145"
"2.50000","0.20831","1789.45154"
"2.55000","0.21253","1839.17932"
"2.60000","0.21665","1887.60107"
"2.65000","0.22087","1934.40491"
"2.70000","0.22499","1979.92236"
"2.75000","0.22921","2023.78857"
"2.80000","0.23333","2068.20850"
"2.85000","0.23755","2111.60669"
"2.90000","0.24176","2154.86108"
"2.95000","0.24589","2199.08252"
"3.00000","0.25001","2242.94653"
"3.05000","0.25423","2287.37964"
"3.10000","0.25835","2331.34424"
"3.15000","0.26257","2375.13159"
"3.20000","0.26678","2417.91260"
"3.25000","0.27091","2461.29810"
"3.30000","0.27503","2505.71973"
"3.35000","0.27925","2549.52026"
"3.40000","0.28337","2593.21191"
"3.45000","0.28749","2636.42310"
"3.50000","0.29171","2680.33301"
"3.55000","0.29593","2723.91846"
"3.60000","0.30005","2767.38525"
"3.65000","0.30417","2810.72266"
"3.70000","0.30839","2852.71265"
"3.75000","0.31251","2895.63062"
"3.80000","0.31663","2938.77393"
"3.85000","0.32085","2981.83862"
"3.90000","0.32507","3023.84033"
"3.95000","0.32919","3066.79858"
"4.00000","0.33331","3110.17310"
"4.05000","0.33753","3152.46313"
"4.10000","0.34175","3195.93872"
"4.15000","0.34578","3238.15601"
"4.20000","0.35009","3279.97681"
"4.25000","0.35421","3319.99219"
"4.30000","0.35833","3360.44507"
"4.35000","0.36255","3401.63672"
"4.40000","0.36677","3441.65332"
"4.45000","0.37089","3484.14893"
"4.50000","0.37501","3524.69897"
"4.55000","0.37923","3565.17700"
"4.60000","0.38335","3606.51831"
"4.65000","0.38748","3647.99268"
"4.70000","0.39169","3687.92822"
"4.75000","0.39582","3727.78027"
"4.80000","0.40003","3766.08252"
"4.85000","0.40416","3805.56250"
"4.90000","0.40837","3844.67871"
"4.95000","0.41259","3884.64380"
"5.00000","0.41671","3923.77637"
"5.05000","0.42093","3962.22705"
"5.10000","0.42515","4000.96069"
"5.15000","0.42927","4041.02197"
"5.20000","0.43339","4079.59863"
"5.25000","0.43761","4118.56006"
"5.30000","0.44173","4158.04980"
"5.35000","0.44595","4195.29004"
"5.40000","0.45017","4234.90967"
"5.45000","0.45429","4274.85205"
"5.50000","0.45841","4314.70703"
"5.55000","0.46263","4353.77783"
"5.60000","0.46675","4393.56250"
"5.65000","0.47078","4432.68848"
"5.70000","0.47500","4472.26855"
"5.75000","0.47922","4511.86914"
"5.80000","0.48334","4551.53369"
"5.85000","0.48746","4590.96484"
"5.90000","0.49168","4629.90625"
"5.95000","0.49580","4670.06299"
"6.00000","0.50002","4709.83252"
"6.05000","0.50414","4749.32959"
"6.10000","0.50836","4789.07617"
"6.15000","0.51248","4828.74902"
"6.20000","0.51670","4868.09717"
"6.25000","0.52091","4907.43896"
"6.30000","0.52504","4947.41748"
"6.35000","0.52916","4985.95312"
"6.40000","0.53338","5023.96875"
"6.45000","0.53750","5059.99951"
"6.50000","0.54162","5097.81982"
"6.55000","0.54584","5135.67383"
"6.60000","0.54996","5173.44043"
"6.65000","0.55409","5210.60352"
"6.70000","0.55830","5246.64258"
"6.75000","0.56252","5281.76904"
"6.80000","0.56664","5316.74854"
"6.85000","0.57077","5351.26025"
"6.90000","0.57508","5384.24170"
"6.95000","0.57920","5416.86279"
"7.00000","0.58332","5444.50342"
"7.05000","0.58754","5478.83545"
"7.10000","0.59176","5515.33643"
"7.15000","0.59588","5549.64795"
"7.20000","0.60000","5584.15674"
"7.25000","0.60422","5618.00391"
"7.30000","0.60844","5653.23730"
"7.35000","0.61256","5688.21680"
"7.40000","0.61678","5722.56299"
"7.45000","0.62090","5756.61230"
"7.50000","0.62502","5790.91260"
"7.55000","0.62924","5825.63135"
"7.60000","0.63336","5857.14258"
"7.65000","0.63749","5892.98193"
"7.70000","0.64161","5928.17236"
"7.75000","0.64583","5962.61670"
"7.80000","0.65004","5998.52002"
"7.85000","0.65417","6033.09570"
"7.90000","0.65838","6068.08350"
"7.95000","0.66260","6102.64795"
"8.00000","0.66672","6135.86914"
"8.05000","0.67085","6169.36816"
"8.10000","0.67506","6204.82227"
"8.15000","0.67919","6240.92480"
"8.20000","0.68331","6275.52637"
"8.25000","0.68762","6311.04639"
"8.30000","0.69174","6346.79736"
"8.35000","0.69587","6381.67627"
"8.40000","0.70008","6416.67236"
"8.45000","0.70420","6451.15967"
"8.50000","0.70833","6486.50830"
"8.55000","0.71254","6521.17676"
"8.60000","0.71667","6555.09814"
"8.65000","0.72088","6589.97217"
"8.70000","0.72491","6625.76465"
"8.75000","0.72913","6661.17090"
"8.80000","0.73335","6697.42969"
"8.85000","0.73747","6733.47656"
"8.90000","0.74169","6769.41504"
"8.95000","0.74590","6805.60010"
"9.00000","0.75012","6841.38623"
"9.05000","0.75424","6875.86523"
"9.10000","0.75846","6909.91357"
"9.15000","0.76268","6945.03711"
"9.20000","0.76680","6980.19727"
"9.25000","0.77102","7015.99121"
"9.30000","0.77514","7050.96191"
"9.35000","0.77926","7086.88965"
"9.40000","0.78348","7122.05615"
"9.45000","0.78760","7157.47607"
"9.50000","0.79173","7193.44775"
"9.55000","0.79585","7227.93994"
"9.60000","0.80007","7262.96387"
"9.65000","0.80419","7298.19629"
"9.70000","0.80831","7333.93408"
"9.75000","0.81253","7369.07959"
"9.80000","0.81665","7404.08594"
"9.85000","0.82078","7439.89941"
"9.90000","0.82499","7476.45703"
"9.95000","0.82921","7512.85693"
"10.00000","0.83333","7550.04346"
"10.05000","0.83755","7586.58789"
"10.10000","0.84177","7622.63770"
"10.15000","0.84589","7658.64551"
"10.20000","0.85011","7694.04248"
