Specimen properties : Length,100,mm
Specimen properties : Thickness,1,mm
Specimen properties : Width,10,mm
Test : Rate 1,5,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.21725
0.05,0.00075,-0.98514
0.1,0.0044,6.44279
0.15,0.00871,8.07113
0.2,0.01349,9.65009
0.25,0.01827,11.85687
0.3,0.02305,13.97355
0.35,0.02764,17.48371
0.4,0.03224,33.49188
0.45,0.03673,50.31142
0.5,0.04104,62.0619
0.55,0.04535,70.23523
0.6,0.04966,77.29037
0.65,0.05397,84.25429
0.7,0.05819,91.24818
0.75,0.06241,97.70553
0.8,0.06663,105.99339
0.85,0.07084,114.437
0.9,0.07497,122.78646
0.95,0.07918,134.81247
1,0.08331,153.0649
1.05,0.08752,178.04723
1.1,0.09174,208.75908
1.15,0.09596,246.96976
1.2,0.10017,292.59116
1.25,0.10439,341.2547
1.3,0.10851,393.34631
1.35,0.11273,447.53671
1.4,0.11685,503.16245
1.45,0.12107,561.67108
1.5,0.12519,621.26105
1.55,0.12932,681.03217
1.6,0.13353,740.44812
1.65,0.13765,801.61487
1.7,0.14178,864.13007
1.75,0.1459,927.0379
1.8,0.15012,989.04523
1.85,0.15424,1050.84436
1.9,0.15827,1110.63672
1.95,0.16249,1170.28564
2,0.16661,1230.24951
2.05,0.17073,1289.70837
2.1,0.17504,1347.96423
2.15,0.17926,1405.08533
2.2,0.18338,1463.61414
2.25,0.1876,1520.97229
2.3,0.19182,1576.97815
2.35,0.19594,1633.98279
2.4,0.20006,1688.66064
2.45,0.20428,1742.53357
2.5,0.2084,1796.4408
2.55,0.21262,1848.89978
2.6,0.21674,1900.7959
2.65,0.22096,1952.26599
2.7,0.22508,2002.85278
2.75,0.2293,2054.12354
2.8,0.23352,2104.39941
2.85,0.23764,2154.90234
2.9,0.24176,2204.02393
2.95,0.24589,2251.7522
3,0.2501,2301.16113
3.05,0.25423,2348.67529
3.1,0.25844,2395.67114
3.15,0.26257,2443.55078
3.2,0.26669,2492.33032
3.25,0.27091,2539.91309
3.3,0.27512,2587.99878
3.35,0.27925,2636.45801
3.4,0.28337,2684.17822
3.45,0.28759,2731.8584
3.5,0.2918,2780.63525
3.55,0.29593,2827.80249
3.6,0.30005,2875.65039
3.65,0.30417,2922.94189
3.7,0.30839,2968.50903
3.75,0.31251,3015.90479
3.8,0.31673,3064.21948
3.85,0.32085,3112.52026
3.9,0.32497,3159.06519
3.95,0.32919,3207.7146
4,0.33341,3255.35278
4.05,0.33753,3302.76562
4.1,0.34175,3351.53442
4.15,0.34587,3398.87769
4.2,0.35009,3446.13647
4.25,0.35421,3492.28687
4.3,0.35843,3538.81909
4.35,0.36264,3586.83398
4.4,0.36677,3634.07739
4.45,0.37098,3680.33936
4.5,0.37511,3727.45215
4.55,0.37923,3775.3147
4.6,0.38345,3821.57593
4.65,0.38766,3868.33667
4.7,0.39179,3915.67358
4.75,0.39591,3959.44824
4.8,0.40013,4005.21655
4.85,0.40425,4052.68042
4.9,0.40837,4098.34326
4.95,0.41259,4143.55225
5,0.41671,4189.70605
5.05,0.42084,4235.04688
5.1,0.42505,4280.39648
5.15,0.42918,4326.32178
5.2,0.4333,4372.58398
5.25,0.43752,4417.30859
5.3,0.44173,4461.96777
5.35,0.44586,4508.03027
5.4,0.44998,4553.81592
5.45,0.45429,4599.84424
5.5,0.45841,4646.02539
5.55,0.46254,4691.70557
5.6,0.46675,4736.95654
5.65,0.47088,4782.60791
5.7,0.475,4828.17871
5.75,0.47922,4874.73584
5.8,0.48343,4918.71631
5.85,0.48756,4964.19043
5.9,0.49168,5009.55078
5.95,0.4959,5055.70459
6,0.50011,5101.69678
6.05,0.50424,5146.21875
6.1,0.50836,5191.35645
6.15,0.51257,5234.80518
6.2,0.51679,5279.7041
6.25,0.52091,5324.3042
6.3,0.52513,5368.39307
6.35,0.52925,5411.34082
6.4,0.53338,5455.79248
6.45,0.53759,5501.06934
6.5,0.54181,5544.83008
6.55,0.54593,5588.56396
6.6,0.55006,5631.66309
6.65,0.55418,5674.56885
6.7,0.5584,5718.52197
6.75,0.56252,5761.55029
6.8,0.56674,5803.79932
6.85,0.57086,5845.56641
6.9,0.57498,5887.35254
6.95,0.5792,5930.25293
7,0.58342,5972.49268
7.05,0.58754,6015.90234
7.1,0.59166,6058.99072
7.15,0.59588,6100.85449
7.2,0.6,6142.89209
7.25,0.60422,6185.11719
7.3,0.60834,6227.07227
7.35,0.61256,6268.33887
7.4,0.61668,6309.99658
7.45,0.6209,6351.9126
7.5,0.62512,6393.00928
7.55,0.62924,6434.59277
7.6,0.63336,6475.80322
7.65,0.63758,6516.44238
7.7,0.6417,6557.6792
7.75,0.64583,6598.02246
7.8,0.65004,6638.02344
7.85,0.65417,6679.19971
7.9,0.65838,6718.90527
7.95,0.66251,6758.26904
8,0.66672,6797.79785
8.05,0.67094,6836.32422
8.1,0.67506,6876.06055
8.15,0.67928,6915.80713
8.2,0.6834,6953.00928
8.25,0.68753,6990.52197
8.3,0.69174,7026.53027
8.35,0.69596,7062.66406
8.4,0.70008,7097.34619
8.45,0.7042,7131.41113
8.5,0.70842,7165.72754
8.55,0.71254,7201.64844
8.6,0.71667,7236.92236
8.65,0.72088,7272.0127
8.7,0.72501,7307.64209
8.75,0.72922,7342.37305
8.8,0.73335,7377.95361
8.85,0.73756,7412.91064
8.9,0.74169,7448.32812
8.95,0.7459,7481.81201
9,0.75012,7516.92871
9.05,0.75424,7552.38623
9.1,0.75837,7588.94238
9.15,0.76258,7625.55762
9.2,0.76671,7661.01904
9.25,0.77092,7697.79395
9.3,0.77505,7734.20703
9.35,0.77926,7769.59229
9.4,0.78339,7805.20898
9.45,0.7876,7841.10352
9.5,0.79182,7875.53027
9.55,0.79594,7912.13135
9.6,0.80007,7948.36133
9.65,0.80419,7983.63184
9.7,0.80841,8019.521
9.75,0.81253,8056.73291
9.8,0.81665,8094.1543
9.85,0.82087,8130.67334
9.9,0.82499,8167.65479
9.95,0.82921,8203.81738
10,0.83333,8238.63965
10.05,0.83755,8275.2627
10.1,0.84167,8312.55859
10.15,0.84589,8348.48926
10.2,0.85011,8384.06934
10.25,0.85423,8420.95801
10.3,0.85835,8457.39648
10.35,0.86266,8492.91309
10.4,0.86679,8528.86621
10.45,0.87091,8564.65332
10.5,0.87513,8600.28711
10.55,0.87925,8635.31641
10.6,0.88337,8670.76172
10.65,0.88759,8707.92871
10.7,0.89171,8744.24023
10.75,0.89583,8781.0459
10.8,0.89996,8817.46582
10.85,0.90417,8852.86914
10.9,0.90839,8889.6748
10.95,0.91251,8926.77441
11,0.91673,8963.125
11.05,0.92095,8997.55762
11.1,0.92507,9034.82031
11.15,0.92919,9072.12402
11.2,0.93341,9109.39062
11.25,0.93763,9147.78516
11.3,0.94175,9185.43164
11.35,0.94597,9221.98438
11.4,0.95018,9259.08984
11.45,0.95431,9296.80176
11.5,0.95852,9333.69727
11.55,0.96265,9370.38867
11.6,0.96677,9405.9707
11.65,0.97089,9441.89551
