Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","10.02270"
"0.05000","0.00094","8.71153"
"0.10000","0.00431","16.82733"
"0.15000","0.00890","19.98281"
"0.20000","0.01368","22.71542"
"0.25000","0.01846","23.08108"
"0.30000","0.02315","22.90901"
"0.35000","0.02774","23.84554"
"0.40000","0.03233","23.66022"
"0.45000","0.03673","24.05474"
"0.50000","0.04114","25.46067"
"0.55000","0.04545","25.66752"
"0.60000","0.04976","26.08234"
"0.65000","0.05379","26.05419"
"0.70000","0.05838","25.31389"
"0.75000","0.06250","26.14262"
"0.80000","0.06672","26.40475"
"0.85000","0.07084","26.33478"
"0.90000","0.07497","26.35702"
"0.95000","0.07928","26.37793"
"1.00000","0.08349","26.26695"
"1.05000","0.08762","26.49777"
"1.10000","0.09183","26.86201"
"1.15000","0.09605","27.48725"
"1.20000","0.10017","27.39667"
"1.25000","0.10439","27.62953"
"1.30000","0.10851","27.53886"
"1.35000","0.11264","27.52040"
"1.40000","0.11685","29.06443"
"1.45000","0.12107","29.36073"
"1.50000","0.12529","30.13693"
"1.55000","0.12941","30.22362"
"1.60000","0.13353","30.94383"
"1.65000","0.13765","30.39243"
"1.70000","0.14187","30.28707"
"1.75000","0.14599","30.93281"
"1.80000","0.15012","30.64079"
"1.85000","0.15433","31.00594"
"1.90000","0.15855","30.97616"
"1.95000","0.16267","31.51266"
"2.00000","0.16689","32.15382"
"2.05000","0.17101","33.02079"
"2.10000","0.17523","33.88114"
"2.15000","0.17945","34.22691"
"2.20000","0.18357","37.15127"
"2.25000","0.18769","42.40667"
"2.30000","0.19191","54.36286"
"2.35000","0.19613","67.19542"
"2.40000","0.20025","81.66931"
"2.45000","0.20437","102.47946"
"2.50000","0.20859","123.10358"
"2.55000","0.21281","142.51866"
"2.60000","0.21684","166.08116"
"2.65000","0.22105","190.69569"
"2.70000","0.22527","217.32326"
"2.75000","0.22930","246.93983"
"2.80000","0.23342","278.59274"
"2.85000","0.23764","311.71313"
"2.90000","0.24176","346.28564"
"2.95000","0.24598","381.03384"
"3.00000","0.25010","416.53662"
"3.05000","0.25432","452.28601"
"3.10000","0.25854","486.86243"
"3.15000","0.26257","519.19183"
"3.20000","0.26678","551.98370"
"3.25000","0.27091","583.06903"
"3.30000","0.27494","611.73700"
"3.35000","0.27934","642.16119"
"3.40000","0.28346","674.47455"
"3.45000","0.28768","705.98474"
"3.50000","0.29180","736.05566"
"3.55000","0.29602","768.34283"
"3.60000","0.30014","799.62762"
"3.65000","0.30427","829.34546"
"3.70000","0.30848","858.48969"
"3.75000","0.31261","886.34918"
"3.80000","0.31682","913.94305"
"3.85000","0.32095","940.53381"
"3.90000","0.32516","967.96893"
"3.95000","0.32928","994.46832"
"4.00000","0.33350","1020.74408"
"4.05000","0.33772","1044.65723"
"4.10000","0.34184","1070.87878"
"4.15000","0.34596","1097.47021"
"4.20000","0.35018","1122.78894"
"4.25000","0.35430","1148.78076"
"4.30000","0.35843","1173.23193"
"4.35000","0.36264","1196.19934"
"4.40000","0.36686","1222.92029"
"4.45000","0.37098","1248.71924"
"4.50000","0.37520","1273.77710"
"4.55000","0.37942","1297.03870"
"4.60000","0.38354","1321.67175"
"4.65000","0.38766","1346.38440"
"4.70000","0.39179","1369.88623"
"4.75000","0.39600","1393.58301"
"4.80000","0.40013","1417.38806"
"4.85000","0.40425","1441.04236"
"4.90000","0.40847","1464.16077"
"4.95000","0.41259","1487.41699"
"5.00000","0.41671","1512.18127"
"5.05000","0.42102","1535.44189"
"5.10000","0.42515","1558.30481"
"5.15000","0.42927","1581.47620"
"5.20000","0.43349","1605.24792"
"5.25000","0.43770","1627.37634"
"5.30000","0.44183","1649.95618"
"5.35000","0.44604","1666.55090"
"5.40000","0.45026","1690.68738"
"5.45000","0.45438","1714.07593"
"5.50000","0.45851","1736.68457"
"5.55000","0.46282","1758.76538"
"5.60000","0.46694","1778.42896"
"5.65000","0.47106","1802.41602"
"5.70000","0.47519","1824.45276"
"5.75000","0.47940","1846.77100"
"5.80000","0.48343","1867.62622"
"5.85000","0.48765","1888.86633"
"5.90000","0.49177","1911.29395"
"5.95000","0.49599","1933.73694"
"6.00000","0.50002","1954.94910"
"6.05000","0.50424","1977.29724"
"6.10000","0.50845","1999.59204"
"6.15000","0.51267","2021.23108"
"6.20000","0.51679","2043.91345"
"6.25000","0.52091","2068.80420"
"6.30000","0.52523","2095.11304"
"6.35000","0.52935","2117.42407"
"6.40000","0.53347","2139.81738"
"6.45000","0.53769","2163.05371"
"6.50000","0.54181","2185.31860"
"6.55000","0.54603","2206.07812"
"6.60000","0.55015","2227.84033"
"6.65000","0.55437","2249.54321"
"6.70000","0.55849","2271.38354"
"6.75000","0.56271","2292.89087"
"6.80000","0.56683","2314.24512"
"6.85000","0.57095","2336.05688"
"6.90000","0.57517","2357.08911"
"6.95000","0.57929","2379.09692"
"7.00000","0.58342","2398.35449"
"7.05000","0.58773","2420.97485"
"7.10000","0.59185","2442.74341"
"7.15000","0.59597","2462.54639"
"7.20000","0.60019","2482.27930"
"7.25000","0.60431","2503.64941"
"7.30000","0.60853","2524.06201"
"7.35000","0.61275","2539.92578"
"7.40000","0.61687","2561.47241"
"7.45000","0.62099","2582.60571"
"7.50000","0.62521","2603.04004"
"7.55000","0.62933","2623.35474"
"7.60000","0.63346","2644.56812"
"7.65000","0.63758","2664.45605"
"7.70000","0.64180","2684.16797"
"7.75000","0.64601","2704.61230"
"7.80000","0.65014","2725.86572"
"7.85000","0.65426","2746.48462"
"7.90000","0.65848","2766.70239"
"7.95000","0.66269","2787.73682"
"8.00000","0.66682","2807.46118"
"8.05000","0.67103","2828.73022"
"8.10000","0.67516","2849.84204"
"8.15000","0.67928","2870.42896"
"8.20000","0.68350","2891.07031"
"8.25000","0.68762","2911.00562"
"8.30000","0.69174","2931.91309"
"8.35000","0.69596","2952.01196"
"8.40000","0.70018","2973.15625"
"8.45000","0.70439","2995.88452"
"8.50000","0.70842","3017.47852"
"8.55000","0.71273","3041.35449"
"8.60000","0.71686","3060.54297"
"8.65000","0.72098","3082.00391"
"8.70000","0.72510","3102.48779"
"8.75000","0.72932","3122.33130"
"8.80000","0.73344","3141.99023"
"8.85000","0.73766","3163.11084"
"8.90000","0.74187","3183.66113"
"8.95000","0.74600","3204.68018"
"9.00000","0.75003","3224.91748"
"9.05000","0.75434","3247.79224"
"9.10000","0.75855","3268.00342"
"9.15000","0.76268","3289.53564"
"9.20000","0.76680","3309.04419"
"9.25000","0.77111","3329.42725"
"9.30000","0.77523","3349.37012"
"9.35000","0.77936","3369.26904"
"9.40000","0.78357","3384.44604"
"9.45000","0.78770","3407.67773"
"9.50000","0.79182","3427.19629"
"9.55000","0.79594","3447.91113"
"9.60000","0.80016","3468.73145"
"9.65000","0.80428","3489.34351"
"9.70000","0.80850","3509.92749"
"9.75000","0.81262","3530.77124"
"9.80000","0.81675","3551.44141"
"9.85000","0.82096","3571.48950"
"9.90000","0.82518","3590.98804"
"9.95000","0.82930","3612.45508"
"10.00000","0.83343","3633.66577"
"10.05000","0.83764","3654.21802"
"10.10000","0.84186","3675.83081"
"10.15000","0.84598","3696.86182"
"10.20000","0.85011","3717.70337"
"10.25000","0.85432","3739.09741"
"10.30000","0.85845","3759.96411"
