Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.60855"
"0.05000","0.00150","-0.03216"
"0.10000","0.00525","0.83981"
"0.15000","0.00965","1.67211"
"0.20000","0.01434","0.77423"
"0.25000","0.01902","0.04025"
"0.30000","0.02371","1.06196"
"0.35000","0.02811","1.10582"
"0.40000","0.03261","0.78463"
"0.45000","0.03701","1.06084"
"0.50000","0.04132","1.74993"
"0.55000","0.04564","2.11345"
"0.60000","0.04985","2.07255"
"0.65000","0.05416","2.20504"
"0.70000","0.05838","2.78428"
"0.75000","0.06260","3.15902"
"0.80000","0.06681","2.87118"
"0.85000","0.07094","3.40504"
"0.90000","0.07506","3.09078"
"0.95000","0.07928","3.23460"
"1.00000","0.08349","3.45369"
"1.05000","0.08762","4.20490"
"1.10000","0.09174","4.16298"
"1.15000","0.09596","3.78559"
"1.20000","0.10017","4.30638"
"1.25000","0.10430","6.43078"
"1.30000","0.10851","9.11932"
"1.35000","0.11273","18.91603"
"1.40000","0.11685","34.99465"
"1.45000","0.12098","53.75660"
"1.50000","0.12519","74.38969"
"1.55000","0.12941","92.36157"
"1.60000","0.13353","103.75158"
"1.65000","0.13765","112.30801"
"1.70000","0.14187","117.02171"
"1.75000","0.14599","119.53165"
"1.80000","0.15021","119.92628"
"1.85000","0.15433","120.31489"
"1.90000","0.15846","121.49693"
"1.95000","0.16258","120.92013"
"2.00000","0.16680","121.37881"
"2.05000","0.17092","121.52620"
"2.10000","0.17504","121.58128"
"2.15000","0.17926","121.47296"
"2.20000","0.18348","121.20910"
"2.25000","0.18760","121.31282"
"2.30000","0.19182","121.27692"
"2.35000","0.19603","121.20338"
"2.40000","0.20016","121.39687"
"2.45000","0.20428","121.12556"
"2.50000","0.20850","121.03008"
"2.55000","0.21271","121.93990"
"2.60000","0.21684","121.56169"
"2.65000","0.22105","121.19318"
"2.70000","0.22527","121.44205"
"2.75000","0.22939","121.63911"
"2.80000","0.23361","121.65513"
"2.85000","0.23773","122.19163"
"2.90000","0.24186","121.74835"
"2.95000","0.24598","121.99834"
"3.00000","0.25020","121.52896"
"3.05000","0.25432","121.92378"
"3.10000","0.25844","121.76008"
"3.15000","0.26266","122.13227"
"3.20000","0.26688","122.04802"
"3.25000","0.27100","121.99886"
"3.30000","0.27522","121.45551"
"3.35000","0.27943","121.24428"
"3.40000","0.28356","121.40187"
"3.45000","0.28768","121.64085"
"3.50000","0.29190","121.67950"
"3.55000","0.29602","122.57657"
"3.60000","0.30014","123.03342"
"3.65000","0.30436","122.31994"
"3.70000","0.30848","122.41460"
"3.75000","0.31270","122.50394"
"3.80000","0.31682","122.14206"
"3.85000","0.32104","124.06103"
"3.90000","0.32516","126.02724"
"3.95000","0.32928","132.04739"
"4.00000","0.33350","141.43990"
"4.05000","0.33762","152.58043"
"4.10000","0.34175","164.72757"
"4.15000","0.34596","175.31293"
"4.20000","0.35018","186.57790"
"4.25000","0.35430","199.67502"
"4.30000","0.35843","213.16937"
"4.35000","0.36264","227.24411"
"4.40000","0.36686","242.73273"
"4.45000","0.37098","258.02905"
"4.50000","0.37520","273.51196"
"4.55000","0.37942","290.28830"
"4.60000","0.38354","307.42349"
"4.65000","0.38776","333.70294"
"4.70000","0.39188","369.25549"
"4.75000","0.39610","405.85086"
"4.80000","0.40022","443.25986"
"4.85000","0.40444","482.28171"
"4.90000","0.40856","522.38025"
"4.95000","0.41268","563.37750"
"5.00000","0.41690","604.50763"
"5.05000","0.42102","647.01691"
"5.10000","0.42515","689.10315"
"5.15000","0.42927","731.10730"
"5.20000","0.43349","772.78168"
"5.25000","0.43761","815.60846"
"5.30000","0.44173","856.49536"
"5.35000","0.44595","896.60565"
"5.40000","0.45017","935.17743"
"5.45000","0.45429","970.22260"
"5.50000","0.45851","1001.51587"
"5.55000","0.46263","1031.79492"
"5.60000","0.46675","1059.42200"
"5.65000","0.47097","1086.44714"
"5.70000","0.47519","1113.04150"
"5.75000","0.47931","1139.99744"
"5.80000","0.48343","1166.12097"
"5.85000","0.48765","1191.47192"
"5.90000","0.49177","1217.99231"
"5.95000","0.49590","1243.24536"
"6.00000","0.50011","1268.38318"
"6.05000","0.50433","1293.95679"
"6.10000","0.50845","1319.17517"
"6.15000","0.51257","1342.85254"
"6.20000","0.51689","1367.22510"
"6.25000","0.52101","1391.55896"
"6.30000","0.52513","1414.84326"
"6.35000","0.52935","1438.00049"
"6.40000","0.53347","1461.40198"
"6.45000","0.53769","1484.61658"
"6.50000","0.54191","1507.65808"
"6.55000","0.54603","1530.73962"
"6.60000","0.55015","1553.27539"
"6.65000","0.55437","1574.80151"
"6.70000","0.55858","1596.92297"
"6.75000","0.56271","1619.10388"
"6.80000","0.56683","1640.51807"
"6.85000","0.57105","1661.60913"
"6.90000","0.57517","1682.32300"
"6.95000","0.57929","1704.26892"
"7.00000","0.58351","1725.04504"
"7.05000","0.58763","1746.28418"
"7.10000","0.59176","1767.38281"
"7.15000","0.59588","1787.84985"
"7.20000","0.60010","1809.54919"
"7.25000","0.60422","1830.68103"
"7.30000","0.60844","1850.77673"
"7.35000","0.61265","1870.79089"
"7.40000","0.61678","1891.38965"
"7.45000","0.62090","1912.47034"
"7.50000","0.62512","1933.41333"
"7.55000","0.62933","1954.06604"
"7.60000","0.63346","1974.63611"
"7.65000","0.63767","1995.32104"
"7.70000","0.64189","2016.72424"
"7.75000","0.64601","2036.80640"
"7.80000","0.65014","2056.90771"
"7.85000","0.65435","2077.18726"
"7.90000","0.65848","2097.19629"
"7.95000","0.66260","2116.83130"
"8.00000","0.66682","2136.57764"
"8.05000","0.67094","2156.25903"
"8.10000","0.67516","2176.36255"
"8.15000","0.67928","2195.40332"
"8.20000","0.68350","2214.14893"
"8.25000","0.68762","2234.10791"
"8.30000","0.69174","2252.99585"
"8.35000","0.69596","2271.53271"
"8.40000","0.70018","2290.20581"
"8.45000","0.70430","2309.09912"
"8.50000","0.70852","2327.45117"
"8.55000","0.71264","2346.38501"
"8.60000","0.71686","2365.04028"
"8.65000","0.72098","2383.77173"
"8.70000","0.72520","2402.28760"
"8.75000","0.72941","2421.12231"
"8.80000","0.73354","2440.14526"
"8.85000","0.73766","2457.90063"
"8.90000","0.74178","2475.76807"
"8.95000","0.74600","2494.71265"
"9.00000","0.75012","2512.77100"
"9.05000","0.75434","2531.20947"
"9.10000","0.75846","2550.26831"
"9.15000","0.76258","2568.58716"
"9.20000","0.76680","2587.00098"
"9.25000","0.77102","2605.59863"
"9.30000","0.77514","2624.29370"
"9.35000","0.77926","2642.90601"
"9.40000","0.78348","2661.15796"
"9.45000","0.78760","2679.98877"
"9.50000","0.79182","2697.87231"
"9.55000","0.79604","2717.03174"
"9.60000","0.80016","2735.29565"
"9.65000","0.80428","2754.13818"
"9.70000","0.80859","2772.71411"
"9.75000","0.81272","2790.66895"
"9.80000","0.81684","2809.75317"
"9.85000","0.82096","2828.11230"
"9.90000","0.82518","2845.79443"
"9.95000","0.82930","2864.39771"
"10.00000","0.83343","2881.47510"
"10.05000","0.83764","2899.28247"
"10.10000","0.84177","2918.24780"
"10.15000","0.84589","2936.06006"
"10.20000","0.85011","2953.23535"
"10.25000","0.85432","2971.25439"
"10.30000","0.85845","2989.26953"
"10.35000","0.86266","3006.97412"
"10.40000","0.86679","3023.99927"
