Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.25239"
"0.05000","0.00150","-0.73239"
"0.10000","0.00525","0.66752"
"0.15000","0.00975","0.92690"
"0.20000","0.01443","0.30471"
"0.25000","0.01912","0.83551"
"0.30000","0.02361","0.76482"
"0.35000","0.02821","0.68384"
"0.40000","0.03261","0.70862"
"0.45000","0.03701","1.12722"
"0.50000","0.04123","1.04909"
"0.55000","0.04554","1.22932"
"0.60000","0.04985","1.72043"
"0.65000","0.05407","2.49092"
"0.70000","0.05829","2.91655"
"0.75000","0.06250","3.57423"
"0.80000","0.06672","4.39296"
"0.85000","0.07084","4.03505"
"0.90000","0.07515","4.99015"
"0.95000","0.07928","7.85658"
"1.00000","0.08340","17.14106"
"1.05000","0.08762","33.14501"
"1.10000","0.09183","56.85066"
"1.15000","0.09596","82.78004"
"1.20000","0.10017","101.88563"
"1.25000","0.10430","115.44022"
"1.30000","0.10861","121.51711"
"1.35000","0.11264","120.73234"
"1.40000","0.11685","121.72355"
"1.45000","0.12107","121.71273"
"1.50000","0.12519","121.96680"
"1.55000","0.12932","121.44122"
"1.60000","0.13353","121.19142"
"1.65000","0.13765","121.87920"
"1.70000","0.14178","121.50619"
"1.75000","0.14599","121.38674"
"1.80000","0.15021","121.56239"
"1.85000","0.15433","121.39062"
"1.90000","0.15846","121.04608"
"1.95000","0.16267","121.07137"
"2.00000","0.16689","121.27985"
"2.05000","0.17101","120.84882"
"2.10000","0.17523","121.27293"
"2.15000","0.17935","121.44295"
"2.20000","0.18357","121.15562"
"2.25000","0.18779","121.25854"
"2.30000","0.19191","121.35411"
"2.35000","0.19603","121.61074"
"2.40000","0.20016","121.28342"
"2.45000","0.20437","121.22182"
"2.50000","0.20859","121.26231"
"2.55000","0.21271","121.17603"
"2.60000","0.21693","121.08862"
"2.65000","0.22105","121.32402"
"2.70000","0.22518","121.64561"
"2.75000","0.22939","121.43755"
"2.80000","0.23361","122.10002"
"2.85000","0.23764","121.31647"
"2.90000","0.24186","121.33106"
"2.95000","0.24607","121.49507"
"3.00000","0.25020","121.51109"
"3.05000","0.25432","121.50813"
"3.10000","0.25854","121.87889"
"3.15000","0.26275","121.48671"
"3.20000","0.26688","121.77556"
"3.25000","0.27109","121.64806"
"3.30000","0.27531","122.21445"
"3.35000","0.27943","122.06493"
"3.40000","0.28356","121.99312"
"3.45000","0.28768","122.67855"
"3.50000","0.29180","122.06166"
"3.55000","0.29593","122.52473"
"3.60000","0.30014","123.07450"
"3.65000","0.30427","123.47769"
"3.70000","0.30848","123.18679"
"3.75000","0.31261","124.61139"
"3.80000","0.31682","128.11652"
"3.85000","0.32095","141.30220"
"3.90000","0.32516","164.73531"
"3.95000","0.32938","192.34418"
"4.00000","0.33350","222.31192"
"4.05000","0.33762","253.70184"
"4.10000","0.34184","286.70804"
"4.15000","0.34606","320.74164"
"4.20000","0.35018","355.10770"
"4.25000","0.35430","390.65344"
"4.30000","0.35852","426.70844"
"4.35000","0.36264","463.53656"
"4.40000","0.36677","500.13959"
"4.45000","0.37098","536.33081"
"4.50000","0.37520","574.76318"
"4.55000","0.37932","611.86707"
"4.60000","0.38345","649.40741"
"4.65000","0.38766","686.90704"
"4.70000","0.39179","725.44318"
"4.75000","0.39591","764.05371"
"4.80000","0.40013","801.61841"
"4.85000","0.40425","839.89331"
"4.90000","0.40847","877.80261"
"4.95000","0.41268","915.39325"
"5.00000","0.41681","953.06018"
"5.05000","0.42093","990.74579"
"5.10000","0.42515","1027.75708"
"5.15000","0.42927","1063.61133"
"5.20000","0.43349","1099.97485"
"5.25000","0.43761","1135.10413"
"5.30000","0.44183","1167.98730"
"5.35000","0.44595","1199.12122"
"5.40000","0.45007","1230.13318"
"5.45000","0.45429","1260.01941"
"5.50000","0.45841","1288.93555"
"5.55000","0.46254","1318.75439"
"5.60000","0.46675","1346.64990"
"5.65000","0.47097","1374.79199"
"5.70000","0.47509","1401.85901"
"5.75000","0.47922","1429.51892"
"5.80000","0.48353","1456.25146"
"5.85000","0.48765","1483.19116"
"5.90000","0.49177","1509.72778"
"5.95000","0.49599","1536.07886"
"6.00000","0.50021","1562.46399"
"6.05000","0.50433","1589.44373"
"6.10000","0.50855","1615.43103"
"6.15000","0.51276","1641.29517"
"6.20000","0.51689","1667.24658"
"6.25000","0.52101","1693.38342"
"6.30000","0.52523","1718.68433"
"6.35000","0.52935","1744.07605"
"6.40000","0.53347","1768.49902"
"6.45000","0.53769","1794.36743"
"6.50000","0.54181","1820.59558"
"6.55000","0.54593","1846.31104"
"6.60000","0.55015","1871.13953"
"6.65000","0.55427","1896.84180"
"6.70000","0.55840","1922.17639"
"6.75000","0.56261","1948.03210"
"6.80000","0.56683","1972.68518"
"6.85000","0.57095","1997.76648"
"6.90000","0.57508","2023.53711"
"6.95000","0.57929","2047.17419"
"7.00000","0.58351","2072.86597"
"7.05000","0.58763","2097.72900"
"7.10000","0.59176","2123.74390"
"7.15000","0.59597","2148.86987"
"7.20000","0.60019","2174.70874"
"7.25000","0.60431","2200.02417"
"7.30000","0.60853","2224.40210"
"7.35000","0.61265","2249.70068"
"7.40000","0.61678","2274.94385"
"7.45000","0.62090","2299.27759"
"7.50000","0.62512","2322.76611"
"7.55000","0.62924","2348.59790"
"7.60000","0.63336","2374.22876"
"7.65000","0.63758","2398.37744"
"7.70000","0.64180","2423.17944"
"7.75000","0.64592","2449.07617"
"7.80000","0.65014","2473.60938"
"7.85000","0.65435","2498.04004"
"7.90000","0.65848","2523.78003"
"7.95000","0.66260","2548.63306"
"8.00000","0.66682","2571.87646"
"8.05000","0.67103","2597.59180"
"8.10000","0.67516","2622.93628"
"8.15000","0.67937","2647.69385"
"8.20000","0.68350","2671.97852"
"8.25000","0.68771","2697.29150"
"8.30000","0.69184","2721.41919"
"8.35000","0.69605","2746.00879"
"8.40000","0.70018","2770.81909"
"8.45000","0.70430","2794.60620"
"8.50000","0.70852","2818.17310"
"8.55000","0.71264","2841.43872"
"8.60000","0.71676","2866.93994"
"8.65000","0.72098","2890.42456"
"8.70000","0.72510","2914.56665"
"8.75000","0.72922","2938.83594"
"8.80000","0.73344","2962.45068"
"8.85000","0.73756","2986.06641"
"8.90000","0.74178","3010.24292"
"8.95000","0.74590","3034.50903"
"9.00000","0.75012","3058.40552"
"9.05000","0.75424","3081.52368"
"9.10000","0.75846","3105.61475"
"9.15000","0.76268","3129.54102"
"9.20000","0.76680","3152.63281"
"9.25000","0.77102","3178.07129"
"9.30000","0.77514","3201.81836"
"9.35000","0.77936","3224.88965"
"9.40000","0.78348","3248.55176"
"9.45000","0.78760","3271.78760"
"9.50000","0.79182","3295.10376"
"9.55000","0.79594","3318.47192"
"9.60000","0.80007","3342.13086"
"9.65000","0.80428","3366.08618"
"9.70000","0.80850","3389.88184"
"9.75000","0.81272","3413.84009"
"9.80000","0.81684","3437.34253"
"9.85000","0.82106","3460.58911"
"9.90000","0.82518","3484.09033"
"9.95000","0.82940","3508.11621"
"10.00000","0.83361","3530.60107"
"10.05000","0.83774","3554.80347"
"10.10000","0.84186","3576.68701"
"10.15000","0.84608","3599.99805"
"10.20000","0.85029","3623.03735"
"10.25000","0.85442","3646.16895"
"10.30000","0.85854","3668.72290"
"10.35000","0.86266","3692.07935"
