Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.05512"
"0.05000","0.00141","1.90883"
"0.10000","0.00515","4.50312"
"0.15000","0.00965","5.32704"
"0.20000","0.01424","4.55360"
"0.25000","0.01902","4.52178"
"0.30000","0.02361","4.79707"
"0.35000","0.02811","5.11540"
"0.40000","0.03252","5.44995"
"0.45000","0.03692","5.27125"
"0.50000","0.04132","5.22046"
"0.55000","0.04564","5.24290"
"0.60000","0.04985","5.45301"
"0.65000","0.05416","5.42262"
"0.70000","0.05838","6.31305"
"0.75000","0.06269","7.14208"
"0.80000","0.06681","6.73032"
"0.85000","0.07112","6.35252"
"0.90000","0.07525","6.66677"
"0.95000","0.07946","6.86577"
"1.00000","0.08359","6.98775"
"1.05000","0.08780","7.35647"
"1.10000","0.09193","8.53902"
"1.15000","0.09605","8.33911"
"1.20000","0.10027","8.36359"
"1.25000","0.10439","9.42099"
"1.30000","0.10861","9.95820"
"1.35000","0.11273","10.15628"
"1.40000","0.11695","12.38144"
"1.45000","0.12107","13.83867"
"1.50000","0.12529","14.93829"
"1.55000","0.12950","18.52113"
"1.60000","0.13363","22.93126"
"1.65000","0.13775","27.08793"
"1.70000","0.14197","31.59466"
"1.75000","0.14609","36.05477"
"1.80000","0.15031","40.37402"
"1.85000","0.15452","44.70654"
"1.90000","0.15865","50.15662"
"1.95000","0.16277","55.37314"
"2.00000","0.16699","59.52945"
"2.05000","0.17111","67.53997"
"2.10000","0.17523","80.07719"
"2.15000","0.17935","92.30756"
"2.20000","0.18357","103.21805"
"2.25000","0.18779","114.53356"
"2.30000","0.19191","124.69324"
"2.35000","0.19603","135.37683"
"2.40000","0.20025","146.52904"
"2.45000","0.20437","157.89520"
"2.50000","0.20859","167.77098"
"2.55000","0.21281","178.22008"
"2.60000","0.21693","189.44492"
"2.65000","0.22105","199.73061"
"2.70000","0.22527","209.71109"
"2.75000","0.22949","219.80177"
"2.80000","0.23361","228.10558"
"2.85000","0.23783","236.17311"
"2.90000","0.24195","244.47639"
"2.95000","0.24617","252.09540"
"3.00000","0.25029","259.02200"
"3.05000","0.25451","266.09918"
"3.10000","0.25863","272.92239"
"3.15000","0.26275","279.11716"
"3.20000","0.26697","285.00739"
"3.25000","0.27109","291.74600"
"3.30000","0.27522","298.02750"
"3.35000","0.27943","303.34637"
"3.40000","0.28356","309.96326"
"3.45000","0.28777","316.41406"
"3.50000","0.29190","321.74231"
"3.55000","0.29611","327.31662"
"3.60000","0.30024","333.07117"
"3.65000","0.30445","338.83884"
"3.70000","0.30867","344.49240"
"3.75000","0.31279","350.00082"
"3.80000","0.31692","355.25998"
"3.85000","0.32113","360.46790"
