Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.28384"
"0.10000","0.01143","6.08330"
"0.20000","0.03280","21.23429"
"0.30000","0.05875","36.81775"
"0.40000","0.09446","47.58442"
"0.50000","0.16530","51.07607"
"0.60000","0.28215","56.25495"
"0.70000","0.38110","105.65092"
"0.80000","0.41990","133.03514"
"0.90000","0.44445","145.69115"
"1.00000","0.46694","156.34602"
"1.10000","0.49055","167.88832"
"1.20000","0.51614","180.65173"
"1.30000","0.54378","193.57915"
"1.40000","0.57227","208.28529"
"1.50000","0.60122","222.40421"
"1.60000","0.63252","237.13948"
"1.70000","0.66438","252.29556"
"1.80000","0.69727","266.63004"
"1.90000","0.72997","282.23306"
"2.00000","0.76352","297.34167"
"2.01800","0.76933","300.02795"
"2.02000","0.76999","300.32452"
"2.12000","0.78854","309.25473"
"2.22000","0.79519","306.99719"
"2.32000","0.79950","305.84979"
"2.42000","0.80297","303.55637"
"2.52000","0.80597","302.34625"
"2.62000","0.80878","301.67505"
"2.72000","0.81206","300.54645"
"2.82000","0.81497","301.08990"
"2.92000","0.81900","300.72278"
"3.02000","0.82237","301.03485"
"3.12000","0.82584","299.89084"
"3.22000","0.82865","299.95349"
"3.32000","0.83127","299.94617"
"3.42000","0.83427","299.74530"
"3.52000","0.83708","300.11301"
"3.62000","0.83980","300.05148"
"3.72000","0.84327","299.47290"
"3.82000","0.84636","300.02380"
"3.92000","0.84833","300.31866"
"4.02000","0.85076","299.93201"
"4.12000","0.85310","299.89600"
"4.22000","0.85545","300.45490"
"4.32000","0.85704","300.83276"
"4.42000","0.85966","299.94733"
"4.52000","0.86191","300.41965"
"4.62000","0.86426","300.27771"
"4.72000","0.86613","300.43546"
"4.82000","0.86829","299.76593"
"4.92000","0.87063","300.17273"
"5.02000","0.87288","299.90234"
"5.12000","0.87513","299.81387"
"5.22000","0.87700","299.23065"
"5.32000","0.87878","300.13553"
"5.42000","0.88056","300.25900"
"5.52000","0.88225","300.49649"
"5.62000","0.88356","300.42975"
