Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-1.24303"
"0.10000","0.00797","4.48776"
"0.20000","0.02792","19.40763"
"0.30000","0.05107","35.77483"
"0.40000","0.07581","52.55379"
"0.50000","0.10102","68.91222"
"0.60000","0.12678","84.12370"
"0.70000","0.17682","85.91467"
"0.80000","0.27559","87.33966"
"0.90000","0.40725","114.59245"
"1.00000","0.46478","161.34956"
"1.10000","0.49299","176.90239"
"1.20000","0.51511","187.68761"
"1.30000","0.53872","198.01817"
"1.40000","0.56458","210.32303"
"1.50000","0.59138","223.48732"
"1.60000","0.61893","237.39578"
"1.70000","0.64807","252.15512"
"1.80000","0.67806","266.47672"
"1.90000","0.70870","281.57520"
"2.00000","0.74066","296.11624"
"2.10000","0.77195","311.86096"
"2.20000","0.80466","326.22873"
"2.30000","0.83699","341.52130"
"2.40000","0.87007","356.02554"
"2.50000","0.90511","370.66321"
"2.60000","0.93997","386.33478"
"2.70000","0.97680","400.65109"
"2.80000","1.01297","416.11938"
"2.90000","1.05083","430.37402"
"3.00000","1.08953","445.49005"
"3.10000","1.12804","460.89929"
"3.20000","1.16787","475.84760"
"3.30000","1.20835","490.59787"
"3.40000","1.25080","505.68561"
"3.50000","1.29296","520.57086"
"3.60000","1.33635","535.94611"
"3.70000","1.38114","550.33038"
"3.80000","1.42724","565.76038"
"3.90000","1.47325","580.74908"
"4.00000","1.52095","595.60071"
"4.03000","1.53501","600.24426"
"4.03200","1.53604","600.53986"
"4.13200","1.56818","609.99658"
"4.23200","1.58495","608.62036"
"4.33200","1.59695","606.98901"
"4.43200","1.60819","604.77081"
"4.53200","1.61813","603.62347"
"4.63200","1.62675","603.21710"
"4.73200","1.63630","601.71088"
"4.83200","1.64455","601.82220"
"4.93200","1.65336","600.77264"
"5.03200","1.66142","600.52283"
"5.13200","1.66938","600.83276"
"5.23200","1.67810","600.01318"
"5.33200","1.68597","600.15906"
"5.43200","1.69384","600.62079"
"5.53200","1.70124","600.43848"
"5.63200","1.70921","599.73224"
"5.73200","1.71577","600.64587"
"5.83200","1.72298","600.12390"
"5.93200","1.73029","599.66022"
"6.03200","1.73704","600.31659"
"6.13200","1.74388","599.81042"
"6.23200","1.74997","600.44318"
"6.33200","1.75634","600.02917"
"6.43200","1.76215","599.98358"
"6.53200","1.76768","600.75305"
"6.63200","1.77377","599.77783"
"6.73200","1.77968","600.25476"
"6.83200","1.78558","599.98639"
"6.93200","1.79055","600.32520"
"7.03200","1.79720","599.51074"
"7.13200","1.80282","600.12018"
"7.23200","1.80779","599.76166"
"7.33200","1.81257","600.06549"
"7.43200","1.81781","599.53601"
"7.53200","1.82344","599.40381"
"7.63200","1.82859","599.92505"
"7.73200","1.83309","600.21991"
"7.83200","1.83805","599.89111"
"7.93200","1.84283","599.77411"
"8.03200","1.84705","600.30133"
"8.13200","1.85267","599.40417"
"8.23200","1.85717","600.25964"
"8.33200","1.86120","600.40784"
"8.43200","1.86607","599.55835"
"8.53200","1.87066","600.13647"
"8.63200","1.87563","599.84888"
"8.73200","1.88022","600.22748"
"8.83200","1.88519","599.48035"
"8.93200","1.88838","601.42493"
"9.03200","1.89325","600.23065"
"9.13200","1.89681","599.78662"
"9.23200","1.90112","600.07953"
"9.33200","1.90571","599.44440"
"9.43200","1.90983","600.16260"
"9.53200","1.91396","599.48010"
"9.63200","1.91742","600.27838"
"9.73200","1.92136","599.92761"
"9.83200","1.92492","600.38104"
"9.93200","1.92998","599.65265"
"10.03200","1.93307","600.36340"
"10.13200","1.93645","599.74927"
"10.23200","1.94048","599.67639"
"10.33200","1.94422","599.77875"
"10.43200","1.94844","599.84967"
"10.53200","1.95181","600.66248"
"10.63200","1.95519","599.94415"
"10.73200","1.95847","600.37738"
"10.83200","1.96231","599.75671"
"10.93200","1.96578","600.20245"
"11.03200","1.96831","600.74707"
"11.13200","1.97262","599.92517"
"11.23200","1.97543","600.88654"
"11.33200","1.97899","599.74054"
"11.43200","1.98217","600.18726"
"11.53200","1.98583","600.40778"
"11.63200","1.98827","599.98090"
"11.73200","1.99164","600.01154"
"11.83200","1.99483","600.35974"
"11.93200","1.99811","600.25549"
"12.03200","2.00195","599.58112"
"12.13200","2.00504","600.32043"
"12.23200","2.00916","599.62531"
"12.33200","2.01113","600.39966"
"12.43200","2.01450","599.56726"
"12.53200","2.01760","600.15253"
"12.63200","2.02125","599.58350"
"12.73200","2.02387","600.70251"
"12.83200","2.02706","599.66125"
"12.93200","2.02950","600.26917"
"13.03200","2.03287","600.08191"
"13.13200","2.03549","600.54639"
"13.23200","2.03877","599.87317"
"13.33200","2.04196","599.58014"
"13.43200","2.04496","600.58838"
"13.53200","2.04814","600.12445"
"13.63200","2.05124","599.66107"
"13.73200","2.05405","600.44110"
"13.83200","2.05733","600.01666"
"13.93200","2.05911","600.08142"
"14.03200","2.06220","599.70172"
"14.13200","2.06342","601.03595"
"14.23200","2.06576","599.96686"
"14.33200","2.06998","599.39496"
"14.43200","2.07335","600.21008"
"14.53200","2.07579","600.00110"
"14.63200","2.07897","600.52417"
"14.73200","2.08085","600.62750"
"14.83200","2.08282","600.18256"
"14.93200","2.08600","599.47913"
"15.03200","2.08844","600.12122"
"15.13200","2.09134","600.47858"
"15.23200","2.09462","599.80823"
"15.33200","2.09697","599.96930"
"15.43200","2.09931","600.00543"
"15.53200","2.10137","599.47949"
"15.63200","2.10362","600.65253"
"15.73200","2.10634","599.67053"
"15.83200","2.10877","600.02686"
"15.93200","2.11177","599.53510"
"16.03200","2.11365","599.82831"
"16.13200","2.11674","600.25653"
"16.23200","2.11899","599.82013"
"16.33200","2.12142","600.13641"
"16.43200","2.12508","599.23395"
"16.53200","2.12742","600.09344"
"16.63200","2.12948","600.32465"
"16.73200","2.13220","600.05042"
"16.83200","2.13435","600.19702"
"16.93200","2.13660","599.63403"
"17.03200","2.13885","599.94836"
"17.13200","2.14082","599.60846"
"17.23200","2.14335","600.20135"
"17.33200","2.14513","600.34070"
"17.43200","2.14747","599.74475"
"17.53200","2.14925","600.32184"
"17.63200","2.15207","599.71747"
"17.73200","2.15478","599.49347"
"17.83200","2.15675","599.75848"
"17.93200","2.15909","600.50409"
"18.03200","2.16172","600.08044"
"18.13200","2.16340","600.31854"
"18.23200","2.16593","600.15125"
"18.33200","2.16734","599.84479"
"18.43200","2.16996","599.98785"
"18.53200","2.17212","599.56915"
"18.63200","2.17399","600.62146"
"18.73200","2.17605","600.38873"
"18.83200","2.17896","599.63867"
"18.93200","2.18102","600.02820"
"19.03200","2.18280","600.85541"
"19.13200","2.18467","599.66956"
"19.23200","2.18739","599.81934"
"19.33200","2.18927","600.13440"
"19.43200","2.19170","600.16821"
"19.53200","2.19395","599.60083"
"19.63200","2.19639","600.28339"
"19.73200","2.19779","600.47278"
"19.83200","2.19986","600.07318"
"19.93200","2.20220","599.86371"
"20.03200","2.20398","600.14197"
