Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.26640"
"0.10000","0.01078","6.19424"
"0.20000","0.03252","20.24306"
"0.30000","0.05782","36.58783"
"0.40000","0.08312","53.90350"
"0.50000","0.10823","70.15279"
"0.60000","0.13512","85.08194"
"0.70000","0.18282","88.02525"
"0.80000","0.27981","88.30901"
"0.90000","0.41578","112.38441"
"1.00000","0.48428","159.53722"
"1.10000","0.51735","178.10480"
"1.20000","0.54209","189.40225"
"1.30000","0.56692","200.07024"
"1.40000","0.59279","211.57535"
"1.50000","0.61996","224.92638"
"1.60000","0.65126","237.88008"
"1.70000","0.68434","252.23441"
"1.80000","0.71760","266.58426"
"1.90000","0.75274","281.71786"
"2.00000","0.78751","296.85440"
"2.10000","0.82396","312.19708"
"2.20000","0.86144","326.80692"
"2.30000","0.89930","341.39429"
"2.40000","0.93688","356.76669"
"2.50000","0.97530","371.65292"
"2.60000","1.01475","386.57892"
"2.70000","1.05504","401.18173"
"2.80000","1.09627","416.61346"
"2.90000","1.13741","431.51224"
"3.00000","1.17977","446.38504"
"3.10000","1.22278","461.29410"
"3.20000","1.26579","477.17026"
"3.30000","1.30936","491.25153"
"3.40000","1.35443","506.49774"
"3.50000","1.40101","520.91034"
"3.60000","1.44824","535.93677"
"3.70000","1.49696","551.41876"
"3.80000","1.54653","566.20026"
"3.90000","1.59610","581.73969"
"4.00000","1.64652","595.91248"
"4.02200","1.65711","600.07690"
"4.02400","1.65804","600.44330"
"4.12400","1.69337","609.30133"
"4.22400","1.71202","608.99078"
"4.32400","1.72645","607.36774"
"4.42400","1.73713","606.01410"
"4.52400","1.74735","604.28430"
"4.62400","1.75653","603.22998"
"4.72400","1.76553","601.54797"
"4.82400","1.77433","601.24762"
"4.92400","1.78314","601.38336"
"5.02400","1.79158","600.88739"
"5.12400","1.80038","600.66418"
"5.22400","1.80816","600.14587"
"5.32400","1.81547","600.36713"
"5.42400","1.82231","600.50378"
"5.52400","1.83075","599.55713"
"5.62400","1.83749","600.60199"
"5.72400","1.84527","599.84253"
"5.82400","1.85249","600.43286"
"5.92400","1.85914","600.40161"
"6.02400","1.86523","600.33093"
"6.12400","1.87179","600.19562"
"6.22400","1.87872","599.51532"
"6.32400","1.88528","600.29749"
"6.42400","1.89175","600.24518"
"6.52400","1.89700","600.11932"
"6.62400","1.90224","600.26086"
"6.72400","1.90880","600.08490"
"6.82400","1.91480","599.96265"
"6.92400","1.91967","600.25928"
"7.02400","1.92530","600.37061"
"7.12400","1.93036","600.12262"
"7.22400","1.93551","600.17853"
"7.32400","1.94113","600.05951"
"7.42400","1.94629","599.67126"
"7.52400","1.95153","600.03235"
"7.62400","1.95706","599.96143"
"7.72400","1.96175","599.87561"
"7.82400","1.96662","599.98682"
"7.92400","1.97159","600.00909"
"8.02400","1.97580","600.63916"
"8.12400","1.98049","599.94086"
"8.22400","1.98442","600.49316"
"8.32400","1.98911","599.68591"
"8.42400","1.99408","599.47791"
"8.52400","1.99829","599.94202"
"8.62400","2.00223","600.21063"
"8.72400","2.00626","599.75366"
"8.82400","2.01066","599.68524"
"8.92400","2.01507","599.95416"
"9.02400","2.01891","600.06512"
"9.12400","2.02322","600.13483"
"9.22400","2.02715","600.00586"
"9.32400","2.03137","599.95386"
"9.42400","2.03503","600.22467"
"9.52400","2.03943","599.74243"
"9.62400","2.04299","600.00934"
"9.72400","2.04749","600.01636"
"9.82400","2.05077","599.87482"
"9.92400","2.05452","600.47858"
"10.02400","2.05798","600.51166"
"10.12400","2.06126","600.73627"
"10.22400","2.06464","599.77484"
"10.32400","2.06839","599.63953"
"10.42400","2.07279","600.18738"
"10.52400","2.07532","600.16669"
"10.62400","2.07963","600.42542"
"10.72400","2.08291","600.43939"
"10.82400","2.08675","599.58313"
"10.92400","2.08966","600.47113"
"11.02400","2.09266","599.68573"
"11.12400","2.09640","599.81836"
"11.22400","2.10006","600.13074"
"11.32400","2.10353","600.34485"
"11.42400","2.10652","599.91095"
"11.52400","2.11008","599.82275"
"11.62400","2.11374","600.00171"
"11.72400","2.11608","600.28375"
"11.82400","2.11992","599.69635"
"11.92400","2.12367","599.44666"
"12.02400","2.12648","599.89758"
"12.12400","2.12901","599.81903"
"12.22400","2.13211","600.32916"
"12.32400","2.13539","599.81104"
"12.42400","2.13895","600.04901"
"12.52400","2.14185","599.95776"
"12.62400","2.14410","600.53259"
"12.72400","2.14682","599.80695"
"12.82400","2.15010","599.98633"
"12.92400","2.15272","600.18237"
"13.02400","2.15581","600.38660"
"13.12400","2.15909","599.59656"
"13.22400","2.16228","600.07867"
"13.32400","2.16490","599.85065"
"13.42400","2.16743","600.35229"
"13.52400","2.17015","599.98230"
"13.62400","2.17324","599.63464"
"13.72400","2.17540","600.21033"
"13.82400","2.17802","599.71313"
"13.92400","2.18130","600.20453"
"14.02400","2.18486","600.04785"
"14.12400","2.18786","599.25720"
"14.22400","2.19020","600.24573"
"14.32400","2.19264","599.73773"
"14.42400","2.19526","600.43085"
"14.52400","2.19864","599.85675"
"14.62400","2.20126","600.29871"
"14.72400","2.20351","599.96582"
"14.82400","2.20670","600.40912"
"14.92400","2.20895","600.04370"
"15.02400","2.21157","600.15002"
"15.12400","2.21438","599.87653"
"15.22400","2.21766","599.63556"
"15.32400","2.22019","600.35492"
"15.42400","2.22253","600.30145"
"15.52400","2.22441","600.40240"
"15.62400","2.22684","599.79865"
"15.72400","2.22909","600.04822"
"15.82400","2.23153","600.15619"
"15.92400","2.23425","599.64435"
"16.02400","2.23715","600.38983"
"16.12400","2.24015","599.80054"
"16.22400","2.24165","600.42230"
"16.32400","2.24427","600.21350"
"16.42400","2.24708","599.58502"
"16.52400","2.24980","600.10327"
"16.62400","2.25214","600.07556"
"16.72400","2.25449","600.31702"
"16.82400","2.25674","600.43280"
"16.92400","2.25880","601.01172"
"17.02400","2.26067","600.04987"
"17.12400","2.26414","599.70111"
"17.22400","2.26611","599.64337"
"17.32400","2.26836","599.66998"
"17.42400","2.27051","600.34583"
"17.52400","2.27323","600.10522"
"17.62400","2.27501","600.08710"
"17.72400","2.27688","600.41803"
"17.82400","2.27932","600.08612"
"17.92400","2.28232","599.48419"
"18.02400","2.28475","600.19775"
"18.12400","2.28682","600.46423"
"18.22400","2.28888","600.51953"
"18.32400","2.29131","599.79150"
"18.42400","2.29403","599.32147"
"18.52400","2.29553","600.01782"
"18.62400","2.29815","599.78522"
"18.72400","2.29975","600.28394"
"18.82400","2.30171","600.02826"
"18.92400","2.30415","599.53894"
"19.02400","2.30734","599.51520"
"19.12400","2.30865","600.94019"
"19.22400","2.31034","600.33752"
