Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.52161"
"0.05000","0.00141","1.82789"
"0.10000","0.00515","6.60016"
"0.15000","0.00965","7.63325"
"0.20000","0.01424","8.72039"
"0.25000","0.01902","11.84958"
"0.30000","0.02361","16.11253"
"0.35000","0.02821","17.55764"
"0.40000","0.03261","19.40611"
"0.45000","0.03701","22.88615"
"0.50000","0.04132","31.00665"
"0.55000","0.04564","34.75834"
"0.60000","0.04985","37.36550"
"0.65000","0.05416","37.77955"
"0.70000","0.05838","39.30109"
"0.75000","0.06260","44.63194"
"0.80000","0.06672","54.09129"
"0.85000","0.07103","65.97397"
"0.90000","0.07525","75.92101"
"0.95000","0.07937","82.54246"
"1.00000","0.08349","87.62064"
"1.05000","0.08771","92.41153"
"1.10000","0.09183","96.83245"
"1.15000","0.09605","102.40310"
"1.20000","0.10027","108.60648"
"1.25000","0.10439","115.71210"
"1.30000","0.10851","123.75117"
"1.35000","0.11273","135.35106"
"1.40000","0.11695","153.49371"
"1.45000","0.12116","175.63609"
"1.50000","0.12529","203.53189"
"1.55000","0.12941","237.42226"
"1.60000","0.13353","274.06219"
"1.65000","0.13775","313.30112"
"1.70000","0.14197","354.89792"
"1.75000","0.14609","396.32642"
"1.80000","0.15021","437.42075"
"1.85000","0.15443","478.62924"
"1.90000","0.15855","519.63403"
"1.95000","0.16267","560.37555"
"2.00000","0.16689","597.49176"
"2.05000","0.17111","631.91583"
"2.10000","0.17514","659.00958"
"2.15000","0.17935","677.56836"
"2.20000","0.18357","691.94269"
"2.25000","0.18769","706.74719"
"2.30000","0.19182","721.92883"
"2.35000","0.19603","732.89038"
"2.40000","0.20025","739.95471"
"2.45000","0.20437","750.09039"
"2.50000","0.20859","760.55664"
"2.55000","0.21281","774.17859"
"2.60000","0.21693","789.69952"
"2.65000","0.22105","806.06659"
"2.70000","0.22527","821.41992"
"2.75000","0.22939","837.55109"
"2.80000","0.23352","856.64838"
"2.85000","0.23773","873.49805"
"2.90000","0.24186","888.18671"
"2.95000","0.24598","906.66888"
"3.00000","0.25020","925.53442"
"3.05000","0.25441","943.59760"
"3.10000","0.25854","962.93317"
"3.15000","0.26266","977.91895"
"3.20000","0.26688","991.90961"
"3.25000","0.27100","1010.56134"
"3.30000","0.27522","1031.78821"
"3.35000","0.27943","1052.98865"
"3.40000","0.28365","1075.22424"
"3.45000","0.28777","1096.98401"
"3.50000","0.29199","1117.44678"
"3.55000","0.29611","1137.81714"
"3.60000","0.30033","1157.98572"
"3.65000","0.30445","1178.81665"
"3.70000","0.30867","1195.42834"
"3.75000","0.31279","1208.82690"
"3.80000","0.31692","1223.79749"
"3.85000","0.32113","1241.00000"
"3.90000","0.32526","1259.95068"
"3.95000","0.32938","1277.19336"
"4.00000","0.33360","1296.86841"
"4.05000","0.33772","1316.81738"
"4.10000","0.34184","1336.89441"
"4.15000","0.34606","1357.17590"
"4.20000","0.35018","1375.12122"
"4.25000","0.35440","1392.93359"
"4.30000","0.35852","1411.39368"
"4.35000","0.36274","1432.53821"
"4.40000","0.36686","1455.91199"
"4.45000","0.37108","1478.34705"
"4.50000","0.37520","1498.10083"
"4.55000","0.37942","1516.27478"
"4.60000","0.38354","1535.08655"
"4.65000","0.38766","1551.93298"
"4.70000","0.39188","1563.84973"
"4.75000","0.39610","1570.43188"
"4.80000","0.40022","1570.34961"
"4.85000","0.40434","1565.09583"
"4.90000","0.40856","1567.58167"
"4.95000","0.41268","1578.63257"
"5.00000","0.41690","1575.72705"
"5.05000","0.42112","1563.17017"
"5.10000","0.42524","1555.01978"
"5.15000","0.42946","1554.41199"
"5.20000","0.43358","1557.31445"
"5.25000","0.43780","1558.99744"
"5.30000","0.44192","1567.50586"
"5.35000","0.44614","1576.61023"
"5.40000","0.45026","1576.38989"
"5.45000","0.45448","1572.12744"
"5.50000","0.45860","1576.52063"
"5.55000","0.46282","1579.69507"
"5.60000","0.46694","1583.14539"
"5.65000","0.47106","1586.54028"
"5.70000","0.47528","1592.78589"
"5.75000","0.47950","1607.42273"
"5.80000","0.48362","1622.60681"
"5.85000","0.48774","1635.92236"
"5.90000","0.49196","1647.42456"
"5.95000","0.49608","1658.62817"
"6.00000","0.50021","1672.30273"
"6.05000","0.50442","1683.01794"
"6.10000","0.50855","1694.26721"
"6.15000","0.51267","1709.55151"
"6.20000","0.51689","1724.38489"
"6.25000","0.52110","1734.62219"
"6.30000","0.52523","1735.12622"
"6.35000","0.52935","1738.49573"
"6.40000","0.53366","1751.76770"
"6.45000","0.53778","1773.10095"
"6.50000","0.54191","1793.31372"
"6.55000","0.54603","1807.76062"
"6.60000","0.55024","1812.05273"
"6.65000","0.55437","1820.80249"
"6.70000","0.55858","1836.74353"
"6.75000","0.56280","1848.62561"
"6.80000","0.56692","1864.41443"
"6.85000","0.57114","1884.30188"
"6.90000","0.57536","1903.81860"
"6.95000","0.57948","1923.07495"
"7.00000","0.58360","1941.63416"
"7.05000","0.58782","1958.33374"
"7.10000","0.59194","1974.55029"
"7.15000","0.59607","1987.61243"
"7.20000","0.60028","2003.76416"
"7.25000","0.60450","2020.20166"
"7.30000","0.60862","2039.52124"
"7.35000","0.61284","2057.86841"
"7.40000","0.61696","2075.99536"
"7.45000","0.62109","2096.94971"
"7.50000","0.62521","2117.75342"
"7.55000","0.62943","2139.01709"
"7.60000","0.63355","2160.37964"
"7.65000","0.63767","2182.58228"
"7.70000","0.64189","2204.06177"
"7.75000","0.64601","2227.87354"
"7.80000","0.65023","2251.36914"
"7.85000","0.65435","2273.76709"
"7.90000","0.65857","2295.87622"
"7.95000","0.66269","2317.98218"
"8.00000","0.66682","2340.75195"
"8.05000","0.67103","2361.61865"
"8.10000","0.67525","2384.00146"
"8.15000","0.67937","2407.28125"
"8.20000","0.68359","2428.42407"
"8.25000","0.68781","2450.43604"
"8.30000","0.69193","2473.07861"
"8.35000","0.69605","2495.72656"
"8.40000","0.70027","2517.84521"
"8.45000","0.70449","2541.12476"
"8.50000","0.70861","2563.15332"
"8.55000","0.71273","2585.75708"
"8.60000","0.71686","2608.53076"
"8.65000","0.72098","2631.57617"
"8.70000","0.72520","2653.70630"
"8.75000","0.72932","2676.88452"
"8.80000","0.73344","2701.34155"
"8.85000","0.73766","2724.90918"
"8.90000","0.74187","2749.11401"
"8.95000","0.74600","2773.01416"
"9.00000","0.75012","2797.81909"
"9.05000","0.75443","2821.63501"
"9.10000","0.75855","2844.96826"
"9.15000","0.76268","2869.42480"
"9.20000","0.76689","2892.28125"
"9.25000","0.77111","2915.55908"
"9.30000","0.77523","2938.19702"
"9.35000","0.77936","2962.52930"
"9.40000","0.78357","2985.83765"
"9.45000","0.78779","3010.40869"
"9.50000","0.79191","3034.97681"
"9.55000","0.79613","3059.12402"
"9.60000","0.80025","3083.46362"
"9.65000","0.80438","3107.20605"
"9.70000","0.80850","3131.50854"
"9.75000","0.81272","3154.26465"
"9.80000","0.81684","3177.03857"
"9.85000","0.82096","3199.11841"
"9.90000","0.82518","3223.79370"
"9.95000","0.82940","3249.18750"
"10.00000","0.83352","3274.26318"
"10.05000","0.83774","3299.62256"
"10.10000","0.84186","3324.49927"
"10.15000","0.84598","3348.90161"
"10.20000","0.85020","3373.18433"
"10.25000","0.85442","3396.09521"
