Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.97989"
"0.05000","0.00131","0.50773"
"0.10000","0.00497","12.53125"
"0.15000","0.00937","19.04306"
"0.20000","0.01406","21.95004"
"0.25000","0.01884","26.40227"
"0.30000","0.02343","31.60546"
"0.35000","0.02792","36.46919"
"0.40000","0.03233","40.93833"
"0.45000","0.03683","46.79193"
"0.50000","0.04114","52.43552"
"0.55000","0.04545","62.04702"
"0.60000","0.04976","80.16709"
"0.65000","0.05407","105.95979"
"0.70000","0.05819","137.35330"
"0.75000","0.06241","169.78302"
"0.80000","0.06672","204.16216"
"0.85000","0.07084","241.17316"
"0.90000","0.07506","283.15100"
"0.95000","0.07918","327.25021"
"1.00000","0.08340","374.73727"
"1.05000","0.08752","422.70892"
"1.10000","0.09165","471.17905"
"1.15000","0.09586","520.28461"
"1.20000","0.09998","570.33881"
"1.25000","0.10411","620.66138"
"1.30000","0.10832","668.98328"
"1.35000","0.11245","719.32959"
"1.40000","0.11666","770.10681"
"1.45000","0.12079","819.83258"
"1.50000","0.12500","868.89398"
"1.55000","0.12913","918.09564"
"1.60000","0.13334","967.01703"
"1.65000","0.13756","1014.29767"
"1.70000","0.14178","1063.04980"
"1.75000","0.14590","1109.17468"
"1.80000","0.15012","1152.96338"
"1.85000","0.15433","1197.98645"
"1.90000","0.15846","1243.04089"
"1.95000","0.16267","1283.72522"
"2.00000","0.16680","1323.99243"
"2.05000","0.17092","1364.44556"
"2.10000","0.17514","1404.12878"
"2.15000","0.17926","1444.45166"
"2.20000","0.18348","1485.07922"
"2.25000","0.18760","1525.63379"
"2.30000","0.19172","1565.06836"
"2.35000","0.19594","1603.24109"
"2.40000","0.20006","1644.28931"
"2.45000","0.20419","1685.29321"
"2.50000","0.20840","1725.48572"
"2.55000","0.21253","1766.48572"
"2.60000","0.21665","1808.33545"
"2.65000","0.22087","1849.25684"
"2.70000","0.22499","1891.13342"
"2.75000","0.22921","1932.73181"
"2.80000","0.23333","1973.27881"
"2.85000","0.23755","2014.76611"
"2.90000","0.24167","2055.13013"
"2.95000","0.24589","2096.70581"
"3.00000","0.25010","2137.96558"
"3.05000","0.25423","2179.61255"
"3.10000","0.25835","2222.98364"
"3.15000","0.26257","2264.60889"
"3.20000","0.26669","2307.10913"
"3.25000","0.27081","2349.97192"
"3.30000","0.27503","2391.68799"
"3.35000","0.27915","2433.02979"
"3.40000","0.28337","2473.97559"
"3.45000","0.28749","2514.39600"
"3.50000","0.29171","2555.97925"
"3.55000","0.29583","2598.76660"
"3.60000","0.29995","2641.06738"
"3.65000","0.30417","2683.09595"
"3.70000","0.30839","2724.51294"
"3.75000","0.31251","2768.10181"
"3.80000","0.31663","2809.49316"
"3.85000","0.32085","2850.90137"
"3.90000","0.32507","2892.94409"
"3.95000","0.32919","2933.13477"
"4.00000","0.33341","2972.90015"
"4.05000","0.33753","3015.03882"
"4.10000","0.34165","3057.33325"
"4.15000","0.34587","3099.43140"
"4.20000","0.34999","3141.15356"
"4.25000","0.35412","3183.44312"
"4.30000","0.35833","3224.39819"
"4.35000","0.36255","3266.25220"
"4.40000","0.36667","3307.90430"
"4.45000","0.37080","3349.83496"
"4.50000","0.37511","3389.93604"
"4.55000","0.37923","3432.66064"
"4.60000","0.38335","3475.04834"
"4.65000","0.38757","3516.42358"
"4.70000","0.39169","3558.78931"
"4.75000","0.39591","3602.00439"
"4.80000","0.40003","3643.51318"
"4.85000","0.40425","3684.80298"
"4.90000","0.40837","3727.62573"
"4.95000","0.41250","3769.27148"
"5.00000","0.41671","3808.36694"
"5.05000","0.42093","3851.02002"
"5.10000","0.42505","3894.10254"
"5.15000","0.42918","3935.14697"
"5.20000","0.43339","3975.46924"
"5.25000","0.43752","4016.75879"
"5.30000","0.44164","4058.30640"
"5.35000","0.44586","4098.55420"
"5.40000","0.45007","4140.80615"
"5.45000","0.45420","4181.09766"
"5.50000","0.45832","4221.68018"
"5.55000","0.46254","4259.45850"
"5.60000","0.46666","4302.16699"
"5.65000","0.47088","4342.70166"
"5.70000","0.47500","4384.76709"
"5.75000","0.47922","4424.16846"
"5.80000","0.48324","4465.42334"
"5.85000","0.48756","4504.75537"
"5.90000","0.49177","4544.87061"
"5.95000","0.49590","4586.31055"
"6.00000","0.50002","4625.84033"
"6.05000","0.50414","4664.55762"
"6.10000","0.50836","4702.35840"
"6.15000","0.51248","4742.27930"
"6.20000","0.51670","4781.29443"
"6.25000","0.52082","4820.97070"
"6.30000","0.52494","4859.69873"
"6.35000","0.52925","4898.35010"
"6.40000","0.53338","4936.86377"
"6.45000","0.53750","4974.43994"
"6.50000","0.54172","5013.23926"
"6.55000","0.54593","5053.27783"
"6.60000","0.55006","5093.88965"
"6.65000","0.55418","5134.27979"
"6.70000","0.55840","5173.55566"
"6.75000","0.56261","5213.80420"
"6.80000","0.56674","5252.43604"
"6.85000","0.57095","5292.09766"
"6.90000","0.57508","5331.86084"
"6.95000","0.57920","5371.58984"
"7.00000","0.58332","5409.34619"
"7.05000","0.58754","5446.60303"
"7.10000","0.59166","5483.55420"
"7.15000","0.59579","5523.45850"
"7.20000","0.60000","5562.73682"
"7.25000","0.60413","5602.05518"
"7.30000","0.60834","5640.61670"
"7.35000","0.61247","5678.78857"
"7.40000","0.61668","5717.40234"
"7.45000","0.62081","5755.70312"
"7.50000","0.62502","5793.85010"
"7.55000","0.62915","5831.48438"
"7.60000","0.63336","5870.41895"
"7.65000","0.63749","5906.79297"
"7.70000","0.64170","5945.46875"
"7.75000","0.64583","5983.71826"
"7.80000","0.65004","6022.17236"
"7.85000","0.65426","6057.62354"
"7.90000","0.65838","6094.58740"
"7.95000","0.66251","6130.16992"
"8.00000","0.66663","6165.68799"
"8.05000","0.67085","6198.38574"
"8.10000","0.67497","6230.50000"
"8.15000","0.67919","6262.93652"
"8.20000","0.68331","6292.96094"
"8.25000","0.68753","6327.16406"
"8.30000","0.69165","6359.73291"
"8.35000","0.69587","6393.47607"
"8.40000","0.70008","6426.82373"
"8.45000","0.70420","6459.56006"
"8.50000","0.70833","6493.37939"
"8.55000","0.71254","6526.32715"
"8.60000","0.71676","6560.14844"
"8.65000","0.72088","6594.43896"
"8.70000","0.72510","6625.76123"
"8.75000","0.72922","6659.19336"
"8.80000","0.73335","6694.38818"
"8.85000","0.73756","6728.97314"
"8.90000","0.74178","6763.29297"
"8.95000","0.74590","6797.20215"
"9.00000","0.75003","6831.36816"
"9.05000","0.75424","6864.93896"
"9.10000","0.75837","6899.60889"
"9.15000","0.76249","6934.47900"
"9.20000","0.76671","6967.29639"
"9.25000","0.77083","6999.11719"
"9.30000","0.77505","7034.65723"
"9.35000","0.77917","7070.05127"
"9.40000","0.78339","7102.93555"
"9.45000","0.78751","7137.16357"
"9.50000","0.79173","7172.40430"
"9.55000","0.79585","7206.02881"
"9.60000","0.80007","7240.24463"
"9.65000","0.80410","7274.61377"
"9.70000","0.80841","7308.20801"
"9.75000","0.81253","7338.17090"
"9.80000","0.81675","7358.90039"
"9.85000","0.82087","7392.65771"
"9.90000","0.82509","7433.52979"
"9.95000","0.82930","7469.04297"
"10.00000","0.83333","7506.56348"
"10.05000","0.83755","7540.91016"
"10.10000","0.84167","7575.17529"
"10.15000","0.84580","7611.30078"
"10.20000","0.85001","7644.68848"
